@RELATION dataset-10-coral

@ATTRIBUTE seq numeric
@ATTRIBUTE rssi numeric
@ATTRIBUTE received {True,False}
@ATTRIBUTE prr numeric
@ATTRIBUTE lqi numeric
@ATTRIBUTE link_num {24,25,26,27,20,21,22,23,28,29,1,0,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18,31,30,35,34,33,32}
@ATTRIBUTE experiment_num {0}
@ATTRIBUTE class {perfect,bad,avg,terrible,good}

@DATA
50,49.0,False,0.4,166.065754578,8,0,avg
51,49.0,False,0.2,197.851404351,8,0,bad
52,49.0,False,0.2,156.938344797,8,0,bad
53,49.0,False,0.0,166.075819541,8,0,terrible
54,49.0,True,0.2,197.0,8,0,bad
55,49.0,False,0.2,193.756974423,8,0,bad
56,49.0,True,0.4,161.0,8,0,avg
5,43.0,False,0.0,159.85346267,9,0,terrible
6,43.0,True,0.2,159.0,9,0,bad
7,43.0,False,0.2,167.522698838,9,0,bad
8,43.0,False,0.2,183.503865869,9,0,bad
9,43.0,False,0.2,187.724894629,9,0,bad
10,43.0,True,0.4,195.0,9,0,avg
11,43.0,False,0.2,214.384144832,9,0,bad
12,43.0,False,0.2,182.042848074,9,0,bad
13,43.0,False,0.2,196.608294108,9,0,bad
14,43.0,False,0.2,147.695834147,9,0,bad
15,43.0,False,0.0,169.550300953,9,0,terrible
16,43.0,False,0.0,153.192361677,9,0,terrible
17,43.0,True,0.2,156.0,9,0,bad
18,43.0,False,0.2,156.0,9,0,bad
19,43.0,False,0.2,156.0,9,0,bad
20,43.0,True,0.4,156.0,9,0,avg
21,43.0,True,0.6,158.0,9,0,avg
22,43.0,False,0.4,157.911473229,9,0,avg
23,43.0,False,0.4,156.749376209,9,0,avg
24,43.0,False,0.4,156.379035598,9,0,avg
25,43.0,False,0.2,157.877202482,9,0,bad
26,43.0,True,0.2,156.0,9,0,bad
27,43.0,False,0.2,160.025785801,9,0,bad
28,43.0,True,0.4,159.0,9,0,avg
29,43.0,False,0.4,159.758199135,9,0,avg
30,43.0,True,0.6,205.0,9,0,avg
31,43.0,False,0.4,144.9360635,9,0,avg
32,43.0,False,0.4,202.45762834,9,0,avg
33,43.0,False,0.2,183.339936449,9,0,bad
34,43.0,False,0.2,221.550358468,9,0,bad
35,43.0,False,0.0,138.860030176,9,0,terrible
36,43.0,False,0.0,175.797820871,9,0,terrible
